Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,132,12,P:System.Windows.Forms.DataGridViewColumn.Name,,,,,"this.timeEndedDataGridViewTextBoxColumn.Name = ""timeEndedDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,131,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeEndedDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,131,12,P:System.Windows.Forms.DataGridViewColumn.MinimumWidth,,,,,this.timeEndedDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,130,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeEndedDataGridViewTextBoxColumn.HeaderText = ""TimeEnded"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,130,12,P:System.Windows.Forms.DataGridViewColumn.HeaderText,,,,,"this.timeEndedDataGridViewTextBoxColumn.HeaderText = ""TimeEnded"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,129,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeEndedDataGridViewTextBoxColumn.DataPropertyName = ""TimeEnded"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,129,12,P:System.Windows.Forms.DataGridViewColumn.DataPropertyName,,,,,"this.timeEndedDataGridViewTextBoxColumn.DataPropertyName = ""TimeEnded"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,125,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeStartedDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,125,12,P:System.Windows.Forms.DataGridViewColumn.Width,,,,,this.timeStartedDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,124,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeStartedDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,124,12,P:System.Windows.Forms.DataGridViewColumn.ReadOnly,,,,,this.timeStartedDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,123,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeStartedDataGridViewTextBoxColumn.Name = ""timeStartedDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,123,12,P:System.Windows.Forms.DataGridViewColumn.Name,,,,,"this.timeStartedDataGridViewTextBoxColumn.Name = ""timeStartedDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,122,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeStartedDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,122,12,P:System.Windows.Forms.DataGridViewColumn.MinimumWidth,,,,,this.timeStartedDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,121,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeStartedDataGridViewTextBoxColumn.HeaderText = ""TimeStarted"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,121,12,P:System.Windows.Forms.DataGridViewColumn.HeaderText,,,,,"this.timeStartedDataGridViewTextBoxColumn.HeaderText = ""TimeStarted"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,120,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeStartedDataGridViewTextBoxColumn.DataPropertyName = ""TimeStarted"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,120,12,P:System.Windows.Forms.DataGridViewColumn.DataPropertyName,,,,,"this.timeStartedDataGridViewTextBoxColumn.DataPropertyName = ""TimeStarted"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,116,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.taskIDDataGridViewTextBoxColumn.Width = 125;
